,,,,RSG,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,,0,-1,AC,Acrisols,,http://lod.nal.usda.gov/nalt/216335,"Soils with clay-enriched subsoil - Low-activity clays, low base status","Other soils having: 1. an argic horizon starting ? 100 cm from the soil surface; and 2. a CEC (by 1 M NH4OAc, pH 7) of < 24 cmolc kg-1 clay in some part of the the argic horizon within ? 50 cm below its upper limit; and 3. an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 50%: a. in half or more of the part between 50 and 100 cm from the mineral soil surface; or b. at least in the lower half of the mineral soil above continuous rock, technic hard material or a cemented or indurated layer starting ? 100 cm from the mineral soil surface.",argic horizon,cation exchange capacity,effective base saturation,exchangeable bases,exchangeable Al,,,,,,,,,,,,,,,,
-1,,-1,-1,AL,Alisols,,http://lod.nal.usda.gov/nalt/216339,"Soils with clay-enriched subsoil - High-activity clays, low base status","Other soils having: 1. an argic horizon starting ? 100 cm from the soil surface; and 2. an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 50%: a. in half or more of the part between 50 and 100 cm from the mineral soil surface; or b. at least in the lower half of the mineral soil above continuous rock, technic hard material or a cemented or indurated layer starting ? 100 cm from the mineral soil surface.",argic horizon,effective base saturation,exchangeable bases,exchangeable Al,,,,,,,,,,,,,,,,,
-1,,-1,-1,AN,Andosols,,http://lod.nal.usda.gov/nalt/216340,Soils distinguished by Fe/Al chemistry - Allophanes or Al-humus complexes,"Other soils having: 1. one or more layers with andic or vitric properties with a combined thickness of either: a. ? 30 cm, within ? 100 cm of the soil surface and starting ? 25 cm from the soil surface; or b. ? 60% of the entire thickness of the soil, if continuous rock, technic hard material or a cemented or indurated layer starts > 25 and ? 50 cm from the soil surface; and 2. no argic, ferralic, petroplinthic, pisoplinthic, plinthic or spodic horizon, unless buried deeper than 50 cm from the mineral soil surface.",vitric properties,andic properties,thickness,argic horizon,ferralic horizon,petroplinthic horizon,pisoplinthic horizon,plinthic horizon,spodic horizon,,,,,,,,,,,,
0,,0,0,AT,Anthrosols,,http://lod.nal.usda.gov/nalt/216341,Soils with strong human influence - With long and intensive agricultural use,"Other soils having: 1. a hortic, irragric, plaggic or terric horizon ? 50 cm thick; or 2. an anthraquic horizon and an underlying hydragric horizon with a combined thickness of ? 50 cm; or 3. a pretic horizon, the layers of which have a combined thickness of ? 50 cm, within ? 100 cm of the mineral soil surface.",hortic horizon,irragric horizon,plaggic horizon,terric horizon,anthraquic horizon,hydragric horizon,thickness,pretic horizon,,,,,,,,,,,,,
-1,,-1,-1,AR,Arenosols,,http://lod.nal.usda.gov/nalt/216342,Soils with little or no profile differentiation - Sandy,"Other soils having: 1. a weighted average texture class of loamy sand or coarser, if layers of finer texture have a combined thickness of < 15 cm, to a depth of 100 cm from the mineral soil surface; and 2. < 40% (by volume) of coarse fragments in all layers within ? 100 cm of the mineral soil surface.",texture,coarse fragments,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,CL,Calcisols,,http://lod.nal.usda.gov/nalt/216343,Accumulation of moderately soluble salts or non-saline substances - Accumulation of secondary carbonates,Other soils having: 1. a petrocalcic horizon starting ? 100 cm from the soil surface; or 2. both of the following: a. a calcic horizon starting ? 100 cm from the soil surface; and b. no argic horizon above the calcic horizon unless the argic horizon is permeated throughout with secondary carbonate.,calcic horizon,petrocalcic horizon,argic horizon,secondary carbonate,,,,,,,,,,,,,,,,,
-1,,-1,-1,CM,Cambisols,,http://lod.nal.usda.gov/nalt/216344,Soils with little or no profile differentiation - Moderately developed: Cambisols,"Other soils having: 1. a cambic horizon a. starting ? 50 cm from the soil surface; and b. having its lower limit ? 25 cm from the soil surface; or 2. an anthraquic, hydragric, irragric, plaggic, pretic or terric horizon; or 3. a fragic, petroplinthic, pisoplinthic, plinthic, salic, thionic or vertic horizon starting ? 100 cm from the soil surface; or 4. one or more layers with andic or vitric properties with a combined thickness of ? 15 cm within ? 100 cm of the soil surface.",cambic horizon,fragic horizon,salic horizon,plinthic horizon,petroplinthic horizon,salic horizon,pisoplinthic horizon,anthraquic horizon,hydragric horizon,irragric horizon,plaggic horizon,pretic horizon,terric horizon,fragic horizon,thionic horizon,vertic horizon,andic properties,vitric properties,thickness,,
-1,,-1,-1,CH,Chernozems,,http://lod.nal.usda.gov/nalt/216345,"Pronounced accumulation of organic matter in the mineral topsoil - Very dark topsoil, secondary carbonates","Other soils having: 1. a chernic horizon; and 2. a calcic horizon or a layer with protocalcic properties starting ? 50 cm below the lower limit of the mollicc horizon, and if present, above a cemented or indurated layer; and 3. a base saturation (by 1 M NH4OAc, pH 7) of ? 50% from the soil surface to the calcic horizon or the layer with protocalcic properties, throughout.",chernic horizon,mollic horizon,cemented layer,indurated layer,petrocalcic horizon,calcic horizon,protocalcic properties,base saturation,,,,,,,,,,,,,
-1,,-1,0,CR,Cryosols,,http://lod.nal.usda.gov/nalt/216346,Soils with limitations to root growth - Permafrost-affected,"Other soils having: 1. a cryic horizon starting ? 100 cm from the soil surface; or 2. a cryic horizon starting ? 200 cm from the soil surface and evidence of cryoturbation (frost heave, cryogenic sorting, thermal cracking, ice segregation, patterned ground, etc.) in some layer within ? 100 cm of the soil surface.",cryic horizons,cryoturbation,,,,,,,,,,,,,,,,,,,
