s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
933,"POLYGON ((-50.01876534108111 -8.175896074358709, -50.01876534108111 -12.81566331979315, -45 -11.85551661629703, -45 -7.552372279897661, -50.01876534108111 -8.175896074358709))",0.742,0.784,0.838,783235,654674,421537,1011172,792
b5b,"POLYGON ((38.50065372034543 -48.70131507598031, 45 -45.80546848134384, 39.34749651428972 -42.68268396435615, 33.11134196037203 -44.96817331739243, 38.50065372034543 -48.70131507598031))",0.819,0.819,0.880,29,29,10,153,105
0f1,"POLYGON ((-16.53483785734516 4.851647556935838, -10.61965527615514 4.973642825000524, -10.61965527615513 10.44179817172576, -16.53483785734515 10.18989264617986, -16.53483785734516 4.851647556935838))",0.671,0.719,0.772,3263031,2777636,2175820,3463864,26259
841,"POLYGON ((-112.6198649480404 21.03751102542181, -112.6198649480404 15.32501998539171, -106.5348378573452 15.88626236166589, -106.5348378573452 21.77355606643973, -112.6198649480404 21.03751102542181))",0.832,0.832,0.832,514,514,514,1386,1
23f,"POLYGON ((61.326853510565 -20.08096213071963, 67.38013505195958 -21.03751102542181, 67.38013505195958 -15.32501998539171, 61.326853510565 -14.59941342503042, 61.326853510565 -20.08096213071963))",0.658,0.658,0.682,28750,28750,26637,29418,406
8c5,"POLYGON ((-61.326853510565 14.59941342503042, -61.326853510565 9.341889685888818, -55.4914770123316 8.783194988097531, -55.4914770123316 13.74670252512002, -61.326853510565 14.59941342503042))",0.716,0.774,0.837,585085,471508,314447,697057,1503
bc5,"POLYGON ((-74.74488129694222 -54.52596135026464, -71.07535558394876 -59.96671956400486, -61.50436138175503 -58.10766364662543, -66.64443514071399 -53.17193519487547, -74.74488129694222 -54.52596135026464))",0.762,0.806,0.836,64741,44589,28744,103669,4444
183,"POLYGON ((34.5085229876684 -4.173022773894666, 39.98123465891889 -3.881312186924027, 39.98123465891889 0, 34.5085229876684 0, 34.5085229876684 -4.173022773894666))",0.667,0.716,0.778,16954590,13814959,8932644,17871082,43089
965,"POLYGON ((-79.38034472384487 -34.04786296943432, -79.38034472384487 -39.49464011274421, -73.46516214265485 -38.79459515585769, -73.46516214265485 -33.38766721236327, -79.38034472384487 -34.04786296943432))",0.761,0.784,0.784,30631,25340,25340,47957,26
0e5,"POLYGON ((-10.61965527615513 10.44179817172576, -5.059868846264117 10.57920733737058, -5.059868846264116 16.47390220016713, -10.61965527615513 16.26672649011948, -10.61965527615513 10.44179817172576))",0.651,0.689,0.758,1215560,1093070,774585,1218888,26026
85b,"POLYGON ((-100.6196552761551 16.26672649011948, -100.6196552761551 10.44179817172576, -95.05986884626412 10.57920733737058, -95.05986884626412 16.47390220016713, -100.6196552761551 16.26672649011948))",0.699,0.721,0.773,677090,605771,416885,826455,377
1c1,"POLYGON ((16.53483785734515 -27.66622518241585, 22.61986494804042 -26.7849955075022, 22.61986494804042 -21.03751102542181, 16.53483785734516 -21.77355606643973, 16.53483785734515 -27.66622518241585))",0.764,0.801,0.887,378629,273489,52067,602396,5915
